"id","ak1","ak2","exp","cou","di1","di2","emo","wo1","poi","rbe","rhy","sso","tel","wo3","wo2","un1","un2","tur","st","age","gr1","gr2","mh1","mh2","bor","sex","rtc","ssc","owp","onp","nch","em1","em2","pan"
11784,0,0,2,2,0,0,2,0,0,2,3,2,0,0,0,0,0,2,3,4,7,7,2,4,3,2,4,2,3,5,2,1,1,3
11794,0,0,2,2,0,0,2,0,0,4,4,4,0,0,0,0,0,2,3,3,7,5,3,2,2,2,2,4,2,4,2,1,1,3
11801,0,0,2,3,0,0,2,0,0,2,4,2,0,1,0,0,0,2,1,3,2,3,2,2,4,1,2,2,3,3,4,5,1,2
11802,0,0,2,1,0,0,1,0,0,2,2,3,0,0,0,0,0,2,2,5,3,3,2,4,2,2,2,4,4,5,2,1,4,3
11808,0,0,4,3,0,1,5,0,0,5,4,4,0,0,0,0,0,2,NA,3,4,7,1,1,1,1,2,2,1,1,1,2,1,3
11813,1,1,NA,NA,1,1,NA,0,1,NA,NA,NA,1,1,1,0,1,NA,1,1,6,7,3,3,4,1,2,2,NA,NA,3,1,1,3
11814,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,3,2,5,3,3,2,3,1,2,4,NA,NA,3,5,1,3
11817,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,2,3,3,2,2,1,1,3,3,NA,NA,1,1,5,3
11818,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,5,2,6,7,3,3,1,2,3,3,NA,NA,1,4,1,3
11821,0,0,1,3,0,0,1,0,0,4,4,5,0,0,0,0,0,2,2,3,9,9,1,1,4,2,2,4,4,4,3,1,1,3
11823,1,1,NA,NA,1,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,2,6,5,3,2,1,1,2,4,NA,NA,1,2,1,3
11826,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,5,3,1,1,1,2,4,4,NA,NA,1,1,1,3
11830,0,0,2,2,0,0,2,0,0,2,3,2,0,0,0,0,0,2,1,3,9,8,2,3,3,2,4,4,4,5,3,1,1,3
11842,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,2,7,6,2,2,4,1,3,3,NA,NA,3,2,1,3
11843,0,0,1,3,0,0,4,0,0,1,4,1,0,0,0,0,0,5,2,4,5,2,1,1,3,2,2,2,4,5,3,2,1,3
11847,0,0,1,3,0,0,2,0,0,2,3,2,0,0,0,0,0,2,3,4,3,3,1,1,1,2,3,4,5,5,1,1,1,3
11850,0,0,3,4,0,0,2,0,0,2,4,1,1,0,0,0,0,3,2,3,5,2,3,4,1,1,4,4,3,5,1,6,2,3
11853,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,1,1,0,0,NA,3,1,7,7,2,2,1,1,4,4,NA,NA,1,5,1,2
11857,0,0,1,2,0,0,1,0,0,2,3,2,0,0,0,0,0,4,3,3,7,7,2,3,1,2,4,4,2,2,1,5,1,3
11858,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,1,0,0,0,NA,3,1,5,7,2,1,1,2,3,4,NA,NA,1,2,2,3
11860,1,1,NA,NA,1,1,NA,0,1,NA,NA,NA,1,1,1,1,1,NA,1,1,5,5,2,2,3,2,4,4,NA,NA,2,1,5,3
11861,0,0,2,3,0,0,4,0,0,2,4,2,0,0,0,0,0,2,1,3,7,8,3,2,1,1,4,4,3,4,1,2,1,3
11863,0,0,2,3,0,0,3,0,0,1,3,1,0,0,0,0,0,2,2,3,7,7,2,2,3,2,4,4,5,5,2,1,5,3
11870,0,0,1,2,0,0,2,0,0,1,3,1,0,0,0,0,0,2,2,5,7,7,2,2,4,2,4,3,4,5,3,2,1,3
11871,0,0,2,1,0,0,1,0,0,5,4,5,0,0,0,0,0,1,5,4,9,NA,2,NA,3,1,NA,NA,NA,NA,2,1,NA,1
11879,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,7,3,3,3,1,2,2,2,NA,NA,1,1,1,3
11884,0,0,1,2,0,0,1,0,0,1,4,1,0,0,0,0,0,2,2,4,7,8,1,3,4,2,3,4,3,4,3,3,1,3
11892,0,0,1,3,0,0,2,0,0,1,4,1,0,0,0,0,0,2,3,4,6,6,1,1,3,2,4,4,3,5,3,1,1,3
11896,0,0,2,2,0,0,3,0,0,2,4,2,0,0,0,0,0,3,3,3,6,7,2,2,1,1,2,2,4,5,1,1,1,3
11897,0,0,1,2,0,0,1,0,0,2,3,2,0,0,0,0,0,2,1,3,8,7,1,1,2,1,3,3,4,5,2,5,1,3
11898,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,4,3,5,1,5,1,3,4,NA,NA,4,5,1,3
11899,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,2,8,4,3,3,1,1,4,4,NA,NA,1,1,1,3
11901,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,1,1,0,0,NA,2,1,6,6,2,2,4,1,3,3,NA,NA,3,3,1,3
11902,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,7,NA,1,NA,1,1,4,4,NA,NA,1,1,NA,3
11904,0,0,2,3,0,0,2,0,0,2,1,2,0,0,0,0,0,2,4,4,6,5,2,3,1,2,2,2,5,5,1,1,1,3
11911,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,6,6,2,2,2,1,4,4,NA,NA,2,1,1,3
11915,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,1,5,7,1,2,1,1,4,4,NA,NA,1,1,1,3
11916,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,4,1,8,7,2,3,1,1,2,4,NA,NA,1,1,1,3
11921,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,2,5,NA,NA,NA,1,1,4,4,NA,NA,1,NA,NA,4
11930,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,1,3,5,7,7,1,1,5,2,4,4,3,3,4,1,5,3
11934,0,0,4,3,0,0,1,0,0,4,3,5,0,0,0,0,0,2,2,4,8,7,3,3,1,2,4,3,3,2,1,1,1,3
11935,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,3,5,5,7,1,1,3,2,4,4,4,4,2,1,1,3
11936,0,0,1,2,0,0,1,0,0,1,4,1,0,0,0,0,0,2,3,3,3,NA,NA,NA,1,2,2,3,3,4,1,NA,NA,3
11939,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,2,4,5,9,3,1,2,3,2,2,2,2,4,2,1,1,3
11952,0,0,1,1,0,0,2,0,0,1,2,1,0,0,0,0,0,3,2,5,3,3,2,2,3,1,4,2,2,4,2,1,1,3
11955,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,9,6,2,2,3,2,4,4,NA,NA,2,1,2,3
11956,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,5,8,NA,2,NA,3,1,3,2,3,4,2,1,NA,3
11958,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,4,7,7,3,1,4,1,4,4,4,5,4,1,1,3
11959,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,3,3,5,3,3,5,2,2,2,4,4,2,3,3,5,1,2
11973,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,1,2,7,7,2,2,1,1,4,4,NA,NA,1,2,1,3
11997,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,3,3,3,4,3,1,4,3,NA,NA,2,4,2,3
12001,0,0,2,2,0,0,2,0,0,2,2,2,0,0,0,0,0,2,3,4,8,5,2,2,3,1,3,4,2,3,2,1,1,3
12006,1,1,NA,NA,1,1,NA,0,1,NA,NA,NA,1,1,1,0,1,NA,3,1,3,3,2,1,1,1,2,3,NA,NA,1,4,1,3
12007,0,0,2,3,0,0,2,0,0,2,2,1,0,0,0,0,0,2,2,3,8,7,3,3,1,1,2,2,2,3,1,1,1,3
12008,0,0,NA,NA,0,1,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,2,3,5,2,2,1,2,2,1,NA,NA,1,1,1,3
12009,1,1,NA,NA,1,1,NA,0,1,NA,NA,NA,1,1,1,1,1,NA,3,1,3,NA,2,NA,4,1,1,2,NA,NA,3,2,NA,4
12015,0,0,4,1,0,0,1,0,0,4,3,5,1,0,0,0,0,5,1,5,3,6,2,2,1,2,2,2,3,3,1,2,1,3
12018,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,6,2,3,3,4,2,2,2,NA,NA,4,NA,1,3
12021,0,0,1,1,0,0,1,0,0,2,1,2,0,0,0,0,0,2,2,5,3,3,1,1,1,2,2,2,5,5,1,1,1,4
12024,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,4,2,3,3,4,3,2,1,4,4,NA,NA,2,6,4,3
12028,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,4,2,6,4,2,2,3,2,3,4,NA,NA,2,2,1,3
12031,0,0,1,1,0,0,2,0,0,1,2,2,0,0,0,0,0,2,1,5,5,2,2,2,1,1,3,2,4,5,1,1,1,3
12033,0,0,1,3,0,0,3,0,0,4,2,4,0,0,0,0,0,2,3,3,6,5,3,4,5,1,2,3,3,5,4,2,1,3
12034,0,0,2,1,0,0,1,0,0,2,4,2,0,0,0,0,0,1,1,4,6,3,1,1,1,2,4,4,2,3,1,1,1,3
12043,0,0,1,3,0,0,2,0,0,2,3,3,0,0,0,0,0,2,2,3,7,9,1,1,3,1,3,4,2,4,2,2,1,3
