"","nl12","cp12","ufc12","ld12"
"1","ak1","Production","Use","Lexicon"
"2","ak2","Production","Use","Lexicon"
"3","di1","Comprehension","Use","Pragmatics"
"4","di2","Comprehension","Use","Pragmatics"
"5","wo1","Production","Form","Discourse"
"6","poi","Comprehension","Content","Lexicon"
"7","tel","Production","Use","Discourse"
"8","wo3","Production","Form","Discourse"
"9","wo2","Production","Form","Discourse"
"10","un1","Comprehension","Content","Semantics"
"11","un2","Comprehension","Content","Semantics"
